Date,WeekDay,Weekend,Holiday
2015-07-14,Tuesday,No,No
2015-07-15,Wednesday,No,No
2015-07-16,Thursday,No,No
2015-07-17,Friday,No,No
2015-07-20,Monday,No,No
2015-07-21,Tuesday,No,No
2015-07-22,Wednesday,No,No
2015-07-23,Thursday,No,No
2015-07-24,Friday,No,No
2015-07-27,Monday,No,No
2015-07-28,Tuesday,No,No
2015-07-29,Wednesday,No,No
2015-07-30,Thursday,No,No
2015-07-31,Friday,No,No
2015-08-03,Monday,No,No
2015-08-04,Tuesday,No,No
2015-08-05,Wednesday,No,No
2015-08-06,Thursday,No,No
2015-08-07,Friday,No,No
2015-08-10,Monday,No,No
2015-08-11,Tuesday,No,No
2015-08-12,Wednesday,No,No
2015-08-13,Thursday,No,No
2015-08-14,Friday,No,No
2015-08-17,Monday,No,No
2015-08-18,Tuesday,No,No
2015-08-19,Wednesday,No,No
2015-08-20,Thursday,No,No
2015-08-21,Friday,No,No
2015-08-24,Monday,No,No
2015-08-25,Tuesday,No,No
2015-08-26,Wednesday,No,No
2015-08-27,Thursday,No,No
2015-08-28,Friday,No,No
2015-08-31,Monday,No,No
2015-09-01,Tuesday,No,No
2015-09-02,Wednesday,No,No
2015-09-03,Thursday,No,No
2015-09-04,Friday,No,No
2015-09-07,Monday,No,No
2015-09-08,Tuesday,No,No
2015-09-09,Wednesday,No,No
2015-09-10,Thursday,No,No
2015-09-11,Friday,No,No
2015-09-14,Monday,No,No
2015-09-15,Tuesday,No,No
2015-09-16,Wednesday,No,No
2015-09-17,Thursday,No,No
2015-09-18,Friday,No,No
2015-09-21,Monday,No,No
2015-09-22,Tuesday,No,No
2015-09-23,Wednesday,No,No
2015-09-24,Thursday,No,No
2015-09-25,Friday,No,No
2015-09-28,Monday,No,No
2015-09-29,Tuesday,No,No
2015-09-30,Wednesday,No,No
2015-10-01,Thursday,No,No
2015-10-05,Monday,No,No
2015-10-06,Tuesday,No,No
2015-10-07,Wednesday,No,No
2015-10-08,Thursday,No,No
2015-10-09,Friday,No,No
2015-10-12,Monday,No,No
2015-10-13,Tuesday,No,No
2015-10-14,Wednesday,No,No
2015-10-15,Thursday,No,No
2015-10-16,Friday,No,No
2015-10-19,Monday,No,No
2015-10-20,Tuesday,No,No
2015-10-21,Wednesday,No,No
2015-10-22,Thursday,No,No
2015-10-23,Friday,No,No
2015-10-26,Monday,No,No
2015-10-27,Tuesday,No,No
2015-10-28,Wednesday,No,No
2015-10-29,Thursday,No,No
2015-10-30,Friday,No,No
2015-11-02,Monday,No,No
2015-11-03,Tuesday,No,No
2015-11-04,Wednesday,No,No
2015-11-05,Thursday,No,No
2015-11-06,Friday,No,No
2015-11-09,Monday,No,No
2015-11-10,Tuesday,No,No
2015-11-11,Wednesday,No,Yes
2015-11-12,Thursday,No,No
2015-11-13,Friday,No,No
2015-11-16,Monday,No,No
2015-11-17,Tuesday,No,No
2015-11-18,Wednesday,No,No
2015-11-19,Thursday,No,No
2015-11-20,Friday,No,No
2015-11-23,Monday,No,No
2015-11-24,Tuesday,No,No
2015-11-25,Wednesday,No,No
2015-11-26,Thursday,No,No
2015-11-27,Friday,No,No
2015-11-30,Monday,No,No
2015-12-01,Tuesday,No,No
2015-12-02,Wednesday,No,No
2015-12-03,Thursday,No,No
2015-12-04,Friday,No,No
2015-12-07,Monday,No,No
2015-12-08,Tuesday,No,No
2015-12-09,Wednesday,No,No
2015-12-10,Thursday,No,No
2015-12-11,Friday,No,No
2015-12-14,Monday,No,No
2015-12-15,Tuesday,No,No
2015-12-16,Wednesday,No,No
2015-12-17,Thursday,No,No
2015-12-18,Friday,No,No
2015-12-21,Monday,No,No
2015-12-22,Tuesday,No,No
2015-12-23,Wednesday,No,No
2015-12-24,Thursday,No,No
2015-12-28,Monday,No,No
2015-12-29,Tuesday,No,No
2015-12-30,Wednesday,No,No
2015-12-31,Thursday,No,No
2016-01-01,Friday,No,No
2016-01-04,Monday,No,No
2016-01-05,Tuesday,No,No
2016-01-06,Wednesday,No,No
2016-01-07,Thursday,No,No
2016-01-08,Friday,No,No
2016-01-11,Monday,No,No
2016-01-12,Tuesday,No,No
2016-01-13,Wednesday,No,No
2016-01-14,Thursday,No,No
2016-01-15,Friday,No,No
