Date,maxtempC,mintempC,avgtempC
2010-05-24,30,24,27
2010-05-25,29,24,26
2010-05-26,30,24,26
2010-05-27,31,23,27
2010-05-28,30,24,26
2010-05-29,31,24,27
2010-05-30,30,25,27
2010-05-31,31,24,26
2010-06-01,32,24,27
2010-06-02,31,25,27
2010-06-03,32,24,27
2010-06-04,31,25,28
2010-06-05,32,24,27
2010-06-06,29,23,25
2010-06-07,28,23,25
2010-06-08,28,23,26
2010-06-09,30,24,26
2010-06-10,28,24,25
2010-06-11,26,25,25
2010-06-12,26,24,25
2010-06-13,27,24,25
2010-06-14,27,24,25
2010-06-15,28,24,25
2010-06-16,29,24,26
2010-06-17,29,24,26
2010-06-18,28,24,26
2010-06-19,28,25,26
2010-06-20,30,24,26
2010-06-21,31,24,26
2010-06-22,29,23,26
2010-06-23,28,23,25
2010-06-24,27,23,25
2010-06-25,28,23,25
2010-06-26,29,23,26
2010-06-27,29,23,26
2010-06-28,29,24,26
2010-06-29,30,24,26
2010-06-30,29,24,25
2010-07-01,27,24,25
2010-07-02,27,24,25
2010-07-03,28,23,25
2010-07-04,28,23,25
2010-07-05,26,23,25
2010-07-06,29,23,25
2010-07-07,30,23,26
2010-07-08,29,24,26
2010-07-09,30,24,26
2010-07-10,32,23,27
2010-07-11,33,24,27
2010-07-12,29,23,26
2010-07-13,29,23,25
2010-07-14,27,22,24
2010-07-15,28,23,25
2010-07-16,26,23,24
2010-07-17,27,23,24
2010-07-18,27,23,25
2010-07-19,27,23,25
2010-07-20,27,23,24
2010-07-21,28,23,24
2010-07-22,29,23,25
2010-07-23,29,23,26
2010-07-24,29,23,25
2010-07-25,27,23,25
2010-07-26,29,22,25
2010-07-27,29,23,25
2010-07-28,27,22,24
2010-07-29,26,22,24
2010-07-30,27,22,24
2010-07-31,30,22,25
2010-08-01,31,23,26
2010-08-02,30,22,25
2010-08-03,27,22,24
2010-08-04,27,22,24
2010-08-05,30,23,25
2010-08-06,30,22,25
2010-08-07,29,22,25
2010-08-08,28,22,25
2010-08-09,30,22,25
2010-08-10,31,23,26
2010-08-11,31,23,26
2010-08-12,28,22,25
2010-08-13,29,22,25
2010-08-14,29,22,25
2010-08-15,28,22,25
2010-08-16,27,21,24
2010-08-17,28,21,24
2010-08-18,28,21,24
2010-08-19,29,22,25
2010-08-20,29,22,25
2010-08-21,26,21,24
2010-08-22,29,22,25
2010-08-23,29,21,24
2010-08-24,27,21,24
2010-08-25,27,21,23
2010-08-26,28,21,24
2010-08-27,29,21,24
2010-08-28,28,21,25
2010-08-29,29,21,25
2010-08-30,25,21,23
2010-08-31,29,21,24
2010-09-01,29,21,25
2010-09-02,30,22,25
2010-09-03,29,22,25
2010-09-04,29,22,25
2010-09-05,30,21,25
2010-09-06,30,21,25
2010-09-07,29,22,25
2010-09-08,28,22,24
2010-09-09,30,22,25
2010-09-10,28,21,24
2010-09-11,29,22,25
2010-09-12,30,22,25
2010-09-13,28,22,24
2010-09-14,28,21,24
2010-09-15,27,21,24
2010-09-16,28,21,24
2010-09-17,29,22,25
2010-09-18,28,22,24
2010-09-19,31,21,25
2010-09-20,31,22,25
2010-09-21,30,22,25
2010-09-22,30,21,25
2010-09-23,30,22,25
2010-09-24,28,21,25
2010-09-25,30,22,25
2010-09-26,32,22,26
2010-09-27,30,22,25
2010-09-28,30,22,25
2010-09-29,29,22,25
2010-09-30,30,22,25
2010-10-01,30,22,25
2010-10-02,30,22,25
2010-10-03,29,21,25
2010-10-04,30,22,25
2010-10-05,29,22,25
2010-10-06,26,22,24
2010-10-07,28,21,24
2010-10-08,28,22,24
2010-10-09,28,22,24
2010-10-10,30,22,25
2010-10-11,30,22,25
2010-10-12,30,21,25
2010-10-13,30,21,25
2010-10-14,30,22,24
2010-10-15,29,21,24
2010-10-16,29,21,24
2010-10-17,30,22,25
2010-10-18,29,22,24
2010-10-19,30,21,25
2010-10-20,30,21,25
2010-10-21,30,22,25
2010-10-22,29,21,24
2010-10-23,28,21,24
2010-10-24,30,21,25
2010-10-25,31,21,25
2010-10-26,31,22,25
2010-10-27,29,22,25
2010-10-28,29,21,25
2010-10-29,30,22,25
2010-10-30,28,23,25
2010-10-31,30,22,25
2010-11-01,28,22,25
2010-11-02,29,22,25
2010-11-03,30,22,25
2010-11-04,30,21,25
2010-11-05,29,21,24
2010-11-06,28,21,24
2010-11-07,26,22,23
2010-11-08,29,22,25
2010-11-09,30,22,25
2010-11-10,30,22,25
2010-11-11,28,21,24
2010-11-12,30,21,25
2010-11-13,29,22,25
2010-11-14,31,22,25
2010-11-15,31,22,25
2010-11-16,28,22,24
2010-11-17,28,21,24
2010-11-18,30,21,25
2010-11-19,30,21,24
2010-11-20,30,21,24
2010-11-21,27,20,23
2010-11-22,30,20,24
2010-11-23,30,21,24
2010-11-24,29,21,24
2010-11-25,28,21,24
2010-11-26,27,20,23
2010-11-27,27,21,24
2010-11-28,28,21,24
2010-11-29,31,21,25
2010-11-30,31,21,25
2010-12-01,28,21,24
2010-12-02,29,21,24
2010-12-03,27,21,24
2010-12-04,28,20,23
2010-12-05,28,20,24
2010-12-06,30,21,25
2010-12-07,30,21,25
2010-12-08,27,21,24
2010-12-09,28,20,23
2010-12-10,29,20,24
2010-12-11,29,20,23
2010-12-12,29,19,23
2010-12-13,29,17,23
2010-12-14,30,18,23
2010-12-15,31,20,24
2010-12-16,30,21,24
2010-12-17,30,20,24
2010-12-18,30,21,25
2010-12-19,31,21,25
2010-12-20,32,20,25
2010-12-21,30,21,25
2010-12-22,31,20,24
2010-12-23,30,20,24
2010-12-24,29,20,24
2010-12-25,29,20,24
2010-12-26,30,20,24
2010-12-27,31,20,24
2010-12-28,31,20,24
2010-12-29,30,20,24
2010-12-30,30,20,25
2010-12-31,30,21,24
2011-01-01,29,21,24
2011-01-02,29,21,24
2011-01-03,30,21,25
2011-01-04,29,21,25
2011-01-05,28,21,24
2011-01-06,28,20,24
2011-01-07,29,20,24
2011-01-08,29,21,24
2011-01-09,30,22,25
2011-01-10,28,21,24
2011-01-11,29,21,24
2011-01-12,28,21,24
2011-01-13,29,19,24
2011-01-14,27,19,23
2011-01-15,29,19,24
2011-01-16,29,21,25
2011-01-17,29,21,25
2011-01-18,30,20,25
2011-01-19,30,19,24
2011-01-20,31,18,24
2011-01-21,31,18,24
2011-01-22,30,18,24
2011-01-23,30,18,24
2011-01-24,32,17,24
2011-01-25,31,18,24
2011-01-26,31,18,25
2011-01-27,31,20,25
2011-01-28,31,20,25
2011-01-29,32,21,26
2011-01-30,32,20,26
2011-01-31,32,21,26
2011-02-01,32,21,26
2011-02-02,32,20,26
2011-02-03,31,20,25
2011-02-04,30,20,25
2011-02-05,33,20,26
2011-02-06,32,19,25
2011-02-07,31,21,25
2011-02-08,31,21,26
2011-02-09,31,21,26
2011-02-10,31,21,25
2011-02-11,33,18,25
2011-02-12,33,20,25
2011-02-13,32,19,25
2011-02-14,31,19,25
2011-02-15,31,20,25
2011-02-16,31,21,25
2011-02-17,32,21,26
2011-02-18,31,20,26
2011-02-19,32,21,26
2011-02-20,31,22,26
2011-02-21,30,22,25
2011-02-22,31,21,25
2011-02-23,31,20,25
2011-02-24,30,21,25
2011-02-25,30,21,25
2011-02-26,30,21,25
2011-02-27,31,21,26
2011-02-28,32,21,26
2011-03-01,32,21,26
2011-03-02,32,20,26
2011-03-03,31,22,26
2011-03-04,31,22,27
2011-03-05,31,22,26
2011-03-06,31,23,27
2011-03-07,33,22,27
2011-03-08,33,21,26
2011-03-09,33,21,26
2011-03-10,34,21,27
2011-03-11,33,21,27
2011-03-12,34,21,27
2011-03-13,32,23,27
2011-03-14,32,22,27
2011-03-15,33,22,27
2011-03-16,33,22,27
2011-03-17,33,21,27
2011-03-18,33,20,26
2011-03-19,32,20,26
2011-03-20,32,21,26
2011-03-21,32,22,27
2011-03-22,33,22,27
2011-03-23,33,22,28
2011-03-24,32,22,27
2011-03-25,33,23,27
2011-03-26,31,23,27
2011-03-27,33,22,27
2011-03-28,32,22,27
2011-03-29,32,23,27
2011-03-30,33,22,27
2011-03-31,32,23,27
2011-04-01,32,22,27
2011-04-02,31,22,26
2011-04-03,31,23,26
2011-04-04,31,22,26
2011-04-05,32,22,27
2011-04-06,32,23,27
2011-04-07,33,21,27
2011-04-08,32,22,27
2011-04-09,31,23,27
2011-04-10,32,22,27
2011-04-11,32,21,27
2011-04-12,32,22,27
2011-04-13,32,22,27
2011-04-14,31,23,27
2011-04-15,32,23,27
2011-04-16,33,24,28
2011-04-17,32,24,27
2011-04-18,31,24,27
2011-04-19,31,24,27
2011-04-20,30,25,27
2011-04-21,30,25,27
2011-04-22,30,24,27
2011-04-23,27,24,25
2011-04-24,29,23,26
2011-04-25,30,23,27
2011-04-26,30,23,27
2011-04-27,31,24,27
2011-04-28,30,24,27
2011-04-29,31,24,27
2011-04-30,31,24,27
2011-05-01,31,24,27
2011-05-02,30,25,27
2011-05-03,31,24,27
2011-05-04,30,24,27
2011-05-05,31,24,27
2011-05-06,31,24,27
2011-05-07,31,25,27
2011-05-08,31,22,26
2011-05-09,31,21,26
2011-05-10,31,23,26
2011-05-11,31,24,27
2011-05-12,31,24,27
2011-05-13,31,23,27
2011-05-14,31,25,27
2011-05-15,31,25,28
2011-05-16,32,25,28
2011-05-17,31,25,27
2011-05-18,31,25,27
2011-05-19,31,25,28
2011-05-20,31,25,28
2011-05-21,30,25,27
2011-05-22,31,23,27
2011-05-23,32,24,27
2011-05-24,31,26,28
2011-05-25,32,26,28
2011-05-26,30,25,27
2011-05-27,31,25,27
2011-05-28,30,24,27
2011-05-29,30,24,27
2011-05-30,29,25,27
2011-05-31,29,24,26
2011-06-01,27,24,25
2011-06-02,26,24,25
2011-06-03,28,24,26
2011-06-04,29,24,26
2011-06-05,29,23,26
2011-06-06,28,24,26
2011-06-07,29,24,26
2011-06-08,30,23,27
2011-06-09,30,23,26
2011-06-10,29,23,26
2011-06-11,30,23,27
2011-06-12,29,24,27
2011-06-13,29,23,26
2011-06-14,27,23,25
2011-06-15,28,23,25
2011-06-16,27,24,25
2011-06-17,28,24,25
2011-06-18,29,24,26
2011-06-19,29,23,26
2011-06-20,29,24,26
2011-06-21,30,24,26
2011-06-22,29,23,26
2011-06-23,29,24,26
2011-06-24,29,23,26
2011-06-25,28,23,25
2011-06-26,29,22,25
2011-06-27,27,23,25
2011-06-28,29,22,25
2011-06-29,30,23,26
2011-06-30,30,22,26
2011-07-01,30,24,26
2011-07-02,30,23,26
2011-07-03,29,24,26
2011-07-04,30,23,26
2011-07-05,28,24,25
2011-07-06,28,23,25
2011-07-07,29,23,25
2011-07-08,29,22,25
2011-07-09,30,22,26
2011-07-10,29,22,25
2011-07-11,29,22,26
2011-07-12,27,23,25
2011-07-13,27,23,25
2011-07-14,27,22,24
2011-07-15,28,22,24
2011-07-16,27,22,24
2011-07-17,28,22,25
2011-07-18,28,21,25
2011-07-19,29,21,25
2011-07-20,28,22,25
2011-07-21,28,22,25
2011-07-22,28,22,25
2011-07-23,28,22,25
2011-07-24,28,22,25
2011-07-25,27,21,25
2011-07-26,27,22,24
2011-07-27,28,21,25
2011-07-28,28,22,25
2011-07-29,27,22,24
2011-07-30,27,21,24
2011-07-31,28,22,24
2011-08-01,29,22,25
2011-08-02,29,22,25
2011-08-03,28,23,25
2011-08-04,28,22,25
2011-08-05,29,22,25
2011-08-06,28,22,25
2011-08-07,27,22,24
2011-08-08,28,23,25
2011-08-09,29,23,25
2011-08-10,29,23,25
2011-08-11,29,22,25
2011-08-12,28,22,25
2011-08-13,28,22,25
2011-08-14,29,22,26
2011-08-15,29,23,25
2011-08-16,28,22,24
2011-08-17,27,21,24
2011-08-18,27,21,24
2011-08-19,28,22,25
2011-08-20,27,22,24
2011-08-21,28,22,25
2011-08-22,29,22,25
2011-08-23,28,22,25
2011-08-24,28,22,25
2011-08-25,29,22,25
2011-08-26,28,22,25
2011-08-27,27,22,24
2011-08-28,27,21,24
2011-08-29,27,22,24
2011-08-30,27,22,24
2011-08-31,27,21,24
2011-09-01,26,21,24
2011-09-02,28,21,24
2011-09-03,28,21,24
2011-09-04,29,22,25
2011-09-05,28,22,25
2011-09-06,28,22,25
2011-09-07,28,21,24
2011-09-08,28,21,24
2011-09-09,28,22,24
2011-09-10,28,22,24
2011-09-11,26,21,23
2011-09-12,27,21,24
2011-09-13,26,21,23
2011-09-14,26,21,23
2011-09-15,27,21,23
2011-09-16,28,21,24
2011-09-17,29,21,25
2011-09-18,29,21,25
2011-09-19,29,22,25
2011-09-20,29,22,24
2011-09-21,28,21,24
2011-09-22,28,21,24
2011-09-23,29,20,24
2011-09-24,29,21,25
2011-09-25,29,21,25
2011-09-26,29,21,25
2011-09-27,30,21,25
2011-09-28,30,22,25
2011-09-29,30,21,25
2011-09-30,30,22,25
2011-10-01,30,22,25
2011-10-02,30,21,25
2011-10-03,30,21,25
2011-10-04,30,21,25
2011-10-05,30,22,25
2011-10-06,30,22,25
2011-10-07,30,21,25
2011-10-08,30,21,25
2011-10-09,30,21,25
2011-10-10,30,21,25
2011-10-11,30,23,26
2011-10-12,29,22,25
2011-10-13,30,23,26
2011-10-14,30,22,26
2011-10-15,29,22,25
2011-10-16,29,22,25
2011-10-17,27,22,24
2011-10-18,30,22,25
2011-10-19,30,22,26
2011-10-20,29,23,26
2011-10-21,31,22,26
2011-10-22,31,22,25
2011-10-23,29,22,25
2011-10-24,29,22,25
2011-10-25,30,23,25
2011-10-26,29,22,25
2011-10-27,29,22,25
2011-10-28,30,22,25
2011-10-29,30,22,24
2011-10-30,29,21,24
2011-10-31,28,22,24
2011-11-01,29,22,24
2011-11-02,28,21,24
2011-11-03,28,21,24
2011-11-04,29,20,24
2011-11-05,30,21,25
2011-11-06,29,21,24
2011-11-07,29,20,24
2011-11-08,30,21,25
2011-11-09,30,20,24
2011-11-10,30,18,24
2011-11-11,29,19,24
2011-11-12,29,19,24
2011-11-13,30,20,25
2011-11-14,30,21,25
2011-11-15,30,21,25
2011-11-16,30,19,25
2011-11-17,30,21,25
2011-11-18,30,21,25
2011-11-19,30,22,26
2011-11-20,30,21,25
2011-11-21,28,21,24
2011-11-22,30,21,25
2011-11-23,30,19,25
2011-11-24,30,22,25
2011-11-25,28,23,25
2011-11-26,27,23,24
2011-11-27,27,22,24
2011-11-28,28,22,24
2011-11-29,29,21,25
2011-11-30,29,22,25
2011-12-01,28,22,25
2011-12-02,29,20,25
2011-12-03,29,22,24
2011-12-04,29,21,24
2011-12-05,29,20,25
2011-12-06,29,21,25
2011-12-07,29,20,24
2011-12-08,29,19,24
