datetime,humidity,pressure,temperature,wind_direction,wind_speed
2014-07-01 09-00,52.0,1027.0,290.12,123,1
2014-07-01 10-00,18.0,1027.0,293.2943333,195,0
2014-07-01 11-00,42.0,1027.0,292.4566667,206,0
2014-07-01 12-00,21.0,1027.0,288.8665,229,0
2014-07-01 13-00,33.0,1027.0,288.9463333,237,0
2014-07-01 14-00,47.0,1027.0,286.2736667,256,0
2014-07-01 15-00,27.0,1027.0,285.934,133,0
2014-07-01 16-00,27.0,1027.0,282.4836667,199,0
2014-07-01 17-00,27.0,1026.0,281.3663333,124,0
2014-07-01 18-00,31.0,1027.0,282.135,176,0
2014-07-01 19-00,32.0,1026.0,280.389,59,0
2014-07-01 20-00,29.0,1026.0,280.529,68,0
2014-07-01 21-00,28.0,1026.0,280.5405,71,0
2014-07-01 22-00,35.0,1026.0,280.7233333,83,0
2014-07-01 23-00,34.0,1027.0,280.7776667,88,0
2014-08-01 00-00,29.0,1026.0,280.565,113,0
2014-08-01 01-00,46.0,1027.0,280.7083333,112,0
2014-08-01 02-00,44.0,1027.0,280.5846667,131,0
2014-08-01 03-00,35.0,1027.0,284.4185,107,0
2014-08-01 04-00,55.0,1027.0,282.9756667,139,0
2014-08-01 05-00,47.0,1026.0,285.4903333,130,0
2014-08-01 06-00,45.0,1027.0,285.609,145,1
2014-08-01 07-00,41.0,1026.0,288.9223333,127,1
2014-08-01 08-00,49.0,1026.0,289.8396667,134,1
2014-08-01 09-00,42.0,1025.0,288.454,131,1
2014-08-01 10-00,49.0,1025.0,290.139,141,2
2014-08-01 11-00,49.0,1025.0,289.521,141,2
2014-08-01 12-00,50.0,1024.0,288.087,140,2
2014-08-01 13-00,57.0,1024.0,287.741,141,2
2014-08-01 14-00,56.0,1024.0,286.579,140,2
2014-08-01 15-00,27.0,1024.0,287.0645,139,2
2014-08-01 16-00,27.0,1024.0,285.3533333,138,2
2014-08-01 17-00,47.0,1023.0,285.2896667,137,2
2014-08-01 18-00,70.0,1023.0,285.405,140,3
2014-08-01 19-00,32.0,1023.0,285.2816667,138,3
2014-08-01 20-00,35.0,1022.0,285.3373333,139,3
2014-08-01 21-00,35.0,1021.0,285.291,157,3
2014-08-01 22-00,28.0,1021.0,285.3806667,154,4
2014-08-01 23-00,43.0,1023.0,285.3683333,166,4
2014-09-01 00-00,67.0,1022.0,284.5075,177,3
2014-09-01 01-00,24.0,1023.0,284.778,190,3
2014-09-01 02-00,27.0,1024.0,284.2,202,2
2014-09-01 03-00,27.0,1025.0,284.117,205,2
2014-09-01 04-00,27.0,1026.0,283.374,219,1
2014-09-01 05-00,27.0,1025.0,283.126,225,1
2014-09-01 06-00,76.0,1027.0,283.8395,226,1
2014-09-01 07-00,91.0,1027.0,283.271,234,1
