Date,OriginCityName,CRSDepTime,DepTime,DepDelay
2014-07-06,Los Angeles,900,850.0,-10.0
2014-07-07,Los Angeles,900,902.0,2.0
2014-07-08,Los Angeles,900,937.0,37.0
2014-07-09,Los Angeles,900,934.0,34.0
2014-07-10,Los Angeles,900,,
2014-07-11,Los Angeles,900,919.0,19.0
2014-07-12,Los Angeles,900,902.0,2.0
2014-07-13,Los Angeles,900,1003.0,63.0
2014-07-14,Los Angeles,900,855.0,-5.0
2014-07-15,Los Angeles,900,1010.0,70.0
2014-07-16,Los Angeles,900,904.0,4.0
2014-07-17,Los Angeles,900,851.0,-9.0
2014-07-18,Los Angeles,900,900.0,0.0
2014-07-19,Los Angeles,900,853.0,-7.0
2014-07-20,Los Angeles,900,903.0,3.0
2014-07-21,Los Angeles,900,854.0,-6.0
2014-07-22,Los Angeles,900,854.0,-6.0
2014-07-23,Los Angeles,900,1123.0,143.0
2014-07-24,Los Angeles,900,903.0,3.0
2014-07-25,Los Angeles,900,856.0,-4.0
2014-07-26,Los Angeles,900,858.0,-2.0
2014-07-27,Los Angeles,900,904.0,4.0
2014-07-28,Los Angeles,900,1030.0,90.0
2014-07-29,Los Angeles,900,859.0,-1.0
2014-07-30,Los Angeles,900,857.0,-3.0
2014-07-31,Los Angeles,900,,
2014-08-01,Los Angeles,900,853.0,-7.0
2014-08-02,Los Angeles,900,957.0,57.0
2014-08-03,Los Angeles,900,853.0,-7.0
2014-08-04,Los Angeles,900,852.0,-8.0
2014-08-05,Los Angeles,900,900.0,0.0
2014-08-06,Los Angeles,900,853.0,-7.0
2014-08-07,Los Angeles,900,857.0,-3.0
2014-08-08,Los Angeles,900,857.0,-3.0
2014-08-09,Los Angeles,900,854.0,-6.0
2014-08-10,Los Angeles,900,902.0,2.0
2014-08-11,Los Angeles,900,859.0,-1.0
2014-08-12,Los Angeles,900,931.0,31.0
2014-08-13,Los Angeles,900,854.0,-6.0
2014-08-14,Los Angeles,900,856.0,-4.0
2014-08-15,Los Angeles,900,901.0,1.0
2014-08-16,Los Angeles,900,856.0,-4.0
2014-08-17,Los Angeles,900,853.0,-7.0
2014-08-18,Los Angeles,900,859.0,-1.0
2014-08-19,Los Angeles,900,856.0,-4.0
