FlightDate,OriginCityName,CRSDepTime,DepTime,DepDelay
06-09-2014,Los Angeles,900,859,-1
07-09-2014,Los Angeles,900,855,-5
08-09-2014,Los Angeles,900,857,-3
09-09-2014,Los Angeles,900,1050,110
10-09-2014,Los Angeles,900,852,-8
11-09-2014,Los Angeles,900,854,-6
12-09-2014,Los Angeles,900,855,-5
13-09-2014,Los Angeles,900,849,-11
14-09-2014,Los Angeles,900,859,-1
15-09-2014,Los Angeles,900,903,3
16-09-2014,Los Angeles,900,851,-9
17-09-2014,Los Angeles,900,854,-6
18-09-2014,Los Angeles,900,855,-5
19-09-2014,Los Angeles,900,857,-3
20-09-2014,Los Angeles,900,1028,88
21-09-2014,Los Angeles,900,855,-5
22-09-2014,Los Angeles,900,909,9
23-09-2014,Los Angeles,900,909,9
24-09-2014,Los Angeles,900,855,-5
25-09-2014,Los Angeles,900,858,-2
26-09-2014,Los Angeles,900,912,12
27-09-2014,Los Angeles,900,854,-6
28-09-2014,Los Angeles,900,852,-8
29-09-2014,Los Angeles,900,857,-3
30-09-2014,Los Angeles,900,858,-2
01-10-2014,Los Angeles,900,853,-7
02-10-2014,Los Angeles,900,904,4
03-10-2014,Los Angeles,900,854,-6
04-10-2014,Los Angeles,900,1023,83
05-10-2014,Los Angeles,900,852,-8
06-10-2014,Los Angeles,900,900,0
07-10-2014,Los Angeles,900,854,-6
08-10-2014,Los Angeles,900,854,-6
09-10-2014,Los Angeles,900,900,0
10-10-2014,Los Angeles,900,850,-10
11-10-2014,Los Angeles,900,855,-5
12-10-2014,Los Angeles,900,854,-6
13-10-2014,Los Angeles,900,854,-6
14-10-2014,Los Angeles,900,855,-5
15-10-2014,Los Angeles,900,854,-6
16-10-2014,Los Angeles,900,854,-6
17-10-2014,Los Angeles,900,900,0
18-10-2014,Los Angeles,900,912,12
19-10-2014,Los Angeles,900,854,-6
20-10-2014,Los Angeles,900,855,-5
21-10-2014,Los Angeles,900,858,-2
